comment	use	date	selection	bam	fastq	directionality	rep	library	assembly	cell	experiment	lab	platform
"ignore because of platform"	0	2016/06/07	"polyA mRNA RNA-seq / mm9 / immortalized cell line OR stem cell / bam"	https://www.encodeproject.org/files/ENCFF001QRX/@@download/ENCFF001QRX.bam	NA	NA	1	"SE 50nt"	mm9	MEL	ENCSR000CLP	"John Stamatoyannopoulos, UW"	SOLiD3Plus
"ignore because of platform"	0	2016/06/07	"polyA mRNA RNA-seq / mm9 / immortalized cell line OR stem cell / bam"	https://www.encodeproject.org/files/ENCFF001QRV/@@download/ENCFF001QRV.bam	NA	NA	2	"SE 50nt"	mm9	MEL	ENCSR000CLP	"John Stamatoyannopoulos, UW"	SOLiD3Plus
	1	2016/06/07	"polyA mRNA RNA-seq / mm9 / immortalized cell line OR stem cell / bam"	https://www.encodeproject.org/files/ENCFF001MKI/@@download/ENCFF001MKI.bam	https://www.encodeproject.org/files/ENCFF001MKT/@@download/ENCFF001MKT.fastq.gz	none	1	"SE 45nt"	mm9	MEL	ENCSR000CID	"Ross Hardison, PennState"	HiSeq2000
	1	2016/06/07	"polyA mRNA RNA-seq / mm9 / immortalized cell line OR stem cell / bam"	https://www.encodeproject.org/files/ENCFF001MKJ/@@download/ENCFF001MKJ.bam	https://www.encodeproject.org/files/ENCFF001MKV/@@download/ENCFF001MKV.fastq.gz	none	2	"SE 45nt"	mm9	MEL	ENCSR000CID	"Ross Hardison, PennState"	HiSeq2000
	1	2016/06/07	"polyA mRNA RNA-seq / mm9 / immortalized cell line OR stem cell / bam"	https://www.encodeproject.org/files/ENCFF001LDU/@@download/ENCFF001LDU.bam	https://www.encodeproject.org/files/ENCFF001LEI/@@download/ENCFF001LEI.fastq.gz	none	1	"SE 36nt"	mm9	MEL	ENCSR000CHM	"Bing Ren, UCSD"	HiSeq2000
	1	2016/06/07	"polyA mRNA RNA-seq / mm9 / immortalized cell line OR stem cell / bam"	https://www.encodeproject.org/files/ENCFF001LDV/@@download/ENCFF001LDV.bam	https://www.encodeproject.org/files/ENCFF001LEJ/@@download/ENCFF001LEJ.fastq.gz	none	2	"SE 36nt"	mm9	MEL	ENCSR000CHM	"Bing Ren, UCSD"	HiSeq2000
	1	2016/06/07	"polyA mRNA RNA-seq / mm9 / immortalized cell line OR stem cell / bam"	https://www.encodeproject.org/files/ENCFF001MFL/@@download/ENCFF001MFL.bam	https://www.encodeproject.org/files/ENCFF001MFQ/@@download/ENCFF001MFQ.fastq.gz	none	1	"SE 41nt"	mm9	CH12	ENCSR000CHR	"Ross Hardison, PennState"	GAIIx
	1	2016/06/07	"polyA mRNA RNA-seq / mm9 / immortalized cell line OR stem cell / bam"	https://www.encodeproject.org/files/ENCFF001MFM/@@download/ENCFF001MFM.bam	https://www.encodeproject.org/files/ENCFF001MFP/@@download/ENCFF001MFP.fastq.gz	none	2	"SE 41nt"	mm9	CH12	ENCSR000CHR	"Ross Hardison, PennState"	GAIIx
	1	2016/06/07	"polyA mRNA RNA-seq / mm9 / immortalized cell line OR stem cell / bam"	https://www.encodeproject.org/files/ENCFF001LBP/@@download/ENCFF001LBP.bam	https://www.encodeproject.org/files/ENCFF001LCA/@@download/ENCFF001LCA.fastq.gz	none	1	"SE 30nt"	mm9	ESB4	ENCSR000CGU	"Bing Ren, UCSD"	HiSeq2000
	1	2016/06/07	"polyA mRNA RNA-seq / mm9 / immortalized cell line OR stem cell / bam"	https://www.encodeproject.org/files/ENCFF001LBQ/@@download/ENCFF001LBQ.bam	https://www.encodeproject.org/files/ENCFF001LCC/@@download/ENCFF001LCC.fastq.gz	none	2	"SE 30nt"	mm9	ESB4	ENCSR000CGU	"Bing Ren, UCSD"	HiSeq2000
